"Award
Decision taken","EU
contribution",Title of the action,Responsible Entity
16/10/2015,€5.99m,"Transportation, Accomodation, Alimentation of TCNs in need of international
protection and/or potential asylum seekers to mainland","General
Secretary for
Co-Ordination"
01/10/2015,€0.39m,Administrative reinforcement of First Reception Service,"First Reception
Service"
01/10/2015,€1.1m,"Emergency assistance covering the deployment of additional staff members
and Special Forces to the severely affected Eastern Aegean HCG Authorities
in order to improve the management of the intense migratory flows","Hellenic Coast
Guard"
01/10/2015,€4.03m,"Emergency support enhancing the operational capacity of the Greek
authorities and Civil Society Organisations to manage the extreme rise in
refugee and migrant flows into Greek national and European territory","First Reception
Service"
01/10/2015,€2.36m,Reinforcement of the Eastern Aegean Police Agencies,Hellenic Police
01/10/2015,€2.89m,"Emergency assistance covering unexpected maintenance and repair costs
related to the intense use of HCG maritime assets as well as Search & Rescue
and medical Equipment in view of ensuring a high level domain awareness
of the severely affected Eastern Aegean EU external borders and to minimize
the losses of human lives at sea","Hellenic Coast
Guard"
17/06/2015,€0.69m,"Emergency assistance in support of the organisation, provision of legal
information and interpretation for the effective management of immigration
flows in the Eastern External Borders","First Reception
Service"
17/06/2015,€0.48m,"Emergency assistance for the procurement of Search & Rescue Equipment to
avert losses of migrants’ life at sea","Hellenic Coast
Guard"
17/06/2015,€2.20m,"Emergency assistance covering staff related costs in order to ensure a high
level domain awareness of the severely affected Eastern Aegean EU external
borders and to minimize the losses of human lives at sea","Hellenic Coast
Guard"
20/01/2015,€1.18m,"Support the operation of the Greek Asylum Service, especially the provision
of mobile asylum units on 4 border islands.",Asylum Service
31/07/2018,€6.4m,"Emergency measures to enhance accommodation capacity and Site Management
Support in the sites of Greece",IOM
28/06/2018,€20m,"Continuation of support to site management of Kara Tepe (Lesvos) and targeted
support to protection activities in support to the Greek Government",UNHCR
19/02/2018,€1m,Open Centre fo Migrants Registered for Assisted Voluntary Return (OCAVRR II),IOM
19/02/2018,€6m,"Emergency response in accommodating unaccompanied migrentr children -
ERACUMIC",IOM
31/07/2017,€9.3m,"Continuation of targeted support to guarantee a smooth transition from
emergency mode to stable management of the refugee and migrant situation
and provision of services let by the Greek Government",UNHCR
06/07/2017,€6.48m,"Support to management of Kara Tepe (Lesvos) and Souda (Chios) sites (including
provision of core relieve items, catering and transport services; protection,
educational activities and healthcare)",UNHCR
24/05/2016,€24.9m,"Strengthen the Common European Asylum System, safe pathways to the European
Union for persons in need of international protection and acceleration of the
implementation of relocation to alleviate the heavy burden that presently weights on
Greece, in the context of the fast-track returns to Turkey",EASO
17/05/2016,€13m,Emergency support to assist most vulnerable migrants stranded in Greece,IOM
17/05/2016,€30m,"Supporting UNHCR Greece Emergency Response Plan and strengthening the
capacity of the asylum service",UNHCR
26/02/2016,€1.5m,Assisted voluntary return of third country nationals to their country of origin,IOM
08/02/2016,€1.12m,"EASO emergency support for the Greek hotspots to strengthen their fingerprinting
capacity",EASO
08/12/2015,€20m,"Relocation programme from Greece to other EU Member States for beneficiaries
in clear need of international protection",IOM
17/08/2015,€2.7m,"Strengthening of the first reception response to new arrivals in mixed migratory
movements on the Aegean islands",UNHCR
08/07/2015,€1.43m,"Strengthening of the first reception response to new arrivals on the Aegean
Islands and in the region of Evros in Greece. ‘New Arrivals Intervention’ - phase II",UNHCR
26/01/2016,€80m,"Support to Greece for the development of the hotspot/relocation scheme
as well as for developing asylum reception capacity",UNHCR
01/04/2018,€0.8m,Protection activities,Smile of the Child
01/03/2018,€11.9m,Site Management,Danish RefugeeCouncil
01/03/2018,€1m,"Interpretation services to facilitate access to healthcare, protection services",Metadrasi
01/03/2018,€2m,Health and protection activities,Spanish Red Cross
01/01/2018,€155m,Emergency Support To Integration & Accommodation (ESTIA). Rental and cash scheme,UNHCR
01/01/2018,€3.2m,Health services,Médecins Du Monde
01/01/2018,€5.96m,Site Management,Arbeiter-Sama- riter-Bund
01/09/2017,€15m,"Transportation of children from and to schools, site management and safe zones for unaccompanied minors",IOM
01/08/2017,€8m,Safe zones for unaccompanied minors and protection activities,InternationalRescue Committee
01/07/2017,€94.67m,Rental scheme: nancing of accommodation for refugees in apartments,UNHCR
01/06/2017,€0.9m,Mental health services for refugees in urban settings,Médecins Du Monde
01/05/2017,€6m,"Basic health care, psycho-social support, preparedness",IFRC
01/04/2017,€17.9m,Campsite management in 13 refugee campsites,Danish RefugeeCouncil
01/04/2017,€42m,Multi-purpose cash assitance,UNHCR
01/11/2016,€14.8m,Child protection services particularly targeting unaccompanied minors,UNICEF
15/09/2016,€5.83m,"Non-formal education assistance and comprehensive protection assistance for vulnerable children, including unaccompanied minors",Terre desHommes
01/09/2016,€06.57m,Multi-purpose cash assistance,Mercy Corps
01/08/2016,€3m,Rehabilitation and upgrades of sites in the islands of Chios and Lesvos,UNHCR
01/08/2016,€32.7m,"Transportation of children from and to schools, construction of new sites and rehabilitation of existing centres",IOM
01/08/2016,€3.73m,Provision of assistance to extremely vulnerable refugees in the urban areas of Athens and Thessaloniki,CARE
01/08/2016,€17.3m,"Food aid, non-formal education, shelter assistance via an urban rental scheme",Norwegian Refugee Council
01/06/2016,€9.3m,"Shelter, health- and psycho social support, non- food items, child friendly spaces, legal support and interpretation services",Arbeiter-Sama- riter-Bund
16/04/2016,€9.65.m,"Child friendly spaces, non-formal education classes, psycho-social support and nutrition with special focus on unaccompanied minors",Save theChildren
01/04/2016,€13.5m,"Water, sanitation and hygiene, food, protection, winterisation of shelters, psycho-social support and counselling",OXFAM
01/04/2016,€20.74m,"Protection, psychosocial support, safe spaces for women, safe learning andhealing spaces for children, water, sanitation/hygiene and food assistance, cash assistance",InternationalRescue Committee
01/04/2016,€14.7m,"Food distributions, site management support, shelter, protection, water, sanitation and hygiene assistance",Danish RefugeeCouncil
01/04/2016,€62m,"Upgrading of existing shelter solutions and site standards in preparation for the winter, provision of non-food items and essential services including water, sanitation, hygiene and protection assistance with an emphasis onunaccompanied minors as well as multi-purpose cash assistance",UNHCR
16/03/2016,€10.2m,"Primary health care, referrals for specialised medical care, psychosocial support for migrants and refugees",Médecins Du Monde
16/03/2016,€17m,"Basic health care, food parcels, water, sanitation and hygiene, psycho- socialsupport, winterisation and cash assistance",IFRC
