Fund,Coordinator,Project Title,Amount allocated,Amount Paid,Type
ISF-BV,Hellenic Coast Guard - Ministry of Maritime Affairs & Insular Policy,Emergency assistance covering unexpected maintenance and repair costs related to the intense use of HCG maritime assets as well as Search & Rescue and medical Equipment in view of ensuring a high level domain awareness of the severely affected Eastern Aegean EU external borders and to minimize the losses of human lives at sea,"2,895,328.35","2,316,262.68",Migration management
ISF-BV,Hellenic Coast Guard - Ministry of Maritime Affairs & Insular Policy,Emergency assistance covering the deployment of additional staff members and Special Forces to the severely affected Eastern Aegean HCG Authorities in order to improve the management of the intense migratory flows.,"1,101,000.00","880,800.00",Migration management
ISF-BV,Hellenic Police - Ministry of Interior and Administrative Reconstruction- European Development Programs Division,Reinforcement of the Eastern Aegean Police Agencies,"2,355,707.28","2,154,961.24",Migration management
ISF-BV,Ministry of Defence,"IRRMCr - Fylakio - Immediate Response to the Refugee - Migrant Crisis by providing them sheltering and accommodation, catering, health care and transportation on the mainland","2,254,000.00",N/A,Living Assistance
ISF-BV,Ministry of Defence - General Directorate of Financial Planning and Support (GDFPS),"Immediate enhancement of the response to the refugee - migrant crisis by providing them sheltering and accommodation, catering, health care, transportation at hot spots, ensuring by this way health and safe living conditions for the target group","6,596,470.00","4,493,505.81",Living Assistance
ISF-BV,Ministry of Defence - General Directorate of Financial Planning and Support (GDFPS),"Immediate enhancement of the response to the refugee - migrant crisis by providing them sheltering and accommodation, catering, health care, transportation at hot spots, ensuring by this way health and safe living conditions for the target group","10,066,414.00","9,221,183.66",Living Assistance
ISF-BV,Ministry of Interior,Provision of security services for RICs in the Eastern Aegean islands,"7,100,000.00","5,680,000.00",Living Assistance
ISF-BV,Ministry of Interior and Administrative Reconstruction - European Development Programs Division,Upgrading the existing IT-system of the Hellenic Police for the registration process of TCNs,"3,063,130.08","2,450,504.06",Migration management
ISF-BV,Ministry of Interior and Administrative Reconstruction - European Development Programs Division,Provisional services to TCNs and operational support to the Hellenic Police services at the external borders,"7,000,000.00","5,600,000.00",Migration management
ISF-BV,Ministry of Interior and Administrative Reconstruction - First Reception Service,"Emergency assistance in support of the organisation, provision of legal information and interpretation for the effective management of immigration flows in the Eastern External Borders","693,997.00","613,458.45",Migration management
ISF-BV,Ministry of Interior and Administrative Reconstruction - Reception and identification Service,Emergency assistance for the effective management of immigration flows in the Greek territory,"7,278,995.18","5,823,196.14",Migration management
ISF-BV,Ministry of Interior and Administrative Reconstruction - Reception and identification Service,Construction works of the sewer system and water supply network in Samos,"442,862.43","425,216.80",Migration management
ISF-BV,Ministry of Interior and Administrative Reconstruction - Hellenic Police Headquarters,Reinforcement of the Orestiada Police Directorate with police personnel,"682,440.00","611,818.23",Migration management
ISF-BV,Ministry of Migration - RIS,Provisional services to the TCNs and operational support to the Reception and Identification Centre (RIC) in the Evros region at the external borders,"3,171,615.96",N/A,Migration management
ISF-BV,UNHCR,Strengthening of the first reception response to new arrivals on the Aegean Islands and in the region of Evros in Greece. New Arrivals Intervention – phase II,"1,429,000.15","1,429,000.15",Migration management
ISF-BV,UNHCR,Strengthening of the first reception response to new arrivals in mixed migratory movements on the Aegean islands,"2,700,000.01","2,700,000.01",Migration management
ISF-BV,UNHCR,Support to Greece for the development of the hotspot/relocation scheme as well as for developing asylum reception capacity,"5,000,000.00","5,000,000.00",Migration management
